ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Death,10,"0",,,
,,,,,
TEXTURE ID,LEFT,"TOP",WIDTH,HEIGHT,"FLIPX(0:FALSE, 1:TRUE)"
graphics/monster/Die00.png,0,"0",19,19,0
graphics/monster/Die01.png,0,"0",34,34,0
graphics/monster/Die02.png,0,"0",34,34,0
graphics/monster/Die03.png,0,"0",38,38,0
graphics/monster/Die04.png,0,"0",28,19,0
graphics/monster/Die05.png,0,"0",40,40,0
graphics/monster/Die06.png,0,"0",13,15,0
graphics/monster/Die07.png,0,"0",9,12,0
graphics/monster/Die08.png,0,"0",9,11,0
graphics/monster/Die09.png,0,"0",7,7,0
